12:01:25.415427 IP 172.16.112.100.ftp > 196.227.33.189.1024: Flags [P.], seq 1474901:1474932, ack 4034529068, win 8713, length 31
12:03:26.017181 IP 172.16.112.100.ftp > 194.27.251.21.1104: Flags [P.], seq 1596088:1596119, ack 477132632, win 8716, length 31
12:04:22.085791 IP 172.16.112.100.ftp > www.aasa.co.za.kpop: Flags [P.], seq 1652135:1652166, ack 3155005136, win 8712, length 31
12:05:06.086379 IP 172.16.114.148.ftp > 194.27.251.21.1238: Flags [P.], seq 1774646784:1774646832, ack 838415010, win 32736, length 48
12:15:01.475114 IP 172.16.113.84.4745 > 192.168.1.20.ircd: Flags [P.], seq 1236506049:1236506063, ack 1206484582, win 32120, length 14
12:20:31.521547 IP 172.16.114.148.ftp > www.aasa.co.za.1798: Flags [P.], seq 2595098225:2595098273, ack 3769091223, win 32736, length 48
12:21:08.344517 IP 172.16.113.84.5687 > 192.168.1.20.ircd: Flags [P.], seq 3035646211:3035646224, ack 496214928, win 32120, length 13
12:24:43.498464 IP 172.16.112.100.ftp > 135.8.60.182.2307: Flags [P.], seq 2873807:2873838, ack 2611017303, win 8715, length 31
12:32:20.603986 IP 172.16.113.84.7205 > 192.168.1.20.ircd: Flags [P.], seq 2199743927:2199743937, ack 3003588228, win 32120, length 10
12:39:13.484555 IP 172.16.113.204.10303 > 192.168.1.20.ircd: Flags [P.], seq 1441750612:1441750624, ack 3838036718, win 32120, length 12
12:40:13.545305 IP 172.16.112.100.ftp > 172.16.112.149.11557: Flags [P.], seq 3803932:3803963, ack 931549487, win 8710, length 31
12:40:21.773944 IP 172.16.112.100.ftp > 172.16.113.105.11941: Flags [P.], seq 3812120:3812151, ack 1464923389, win 8708, length 31
12:40:37.898469 IP 172.16.114.148.ftp > 196.227.33.189.2613: Flags [P.], seq 2065279670:2065279718, ack 2675075392, win 32736, length 48
12:40:59.833531 IP 172.16.114.148.ftp > 196.227.33.189.2746: Flags [P.], seq 2384127798:2384127846, ack 3059080466, win 32736, length 48
12:46:03.988013 IP 172.16.113.204.14859 > 192.168.1.20.ircd: Flags [P.], seq 1136399254:1136399268, ack 3968314494, win 32120, length 14
12:57:11.364191 IP 172.16.112.100.ftp > static.kpn.net.4185: Flags [P.], seq 4821979:4822010, ack 372940449, win 8712, length 31
12:57:47.434475 IP 172.16.112.100.ftp > 172.16.114.148.24682: Flags [P.], seq 4858057:4858088, ack 363462113, win 8713, length 31
12:57:57.736551 IP 172.16.112.100.1339 > 209.143.199.30.http: Flags [P.], seq 4869172:4869579, ack 2162444814, win 8760, length 407
12:57:58.866646 IP 172.16.112.100.1340 > 209.143.199.30.http: Flags [P.], seq 4870313:4870754, ack 1449114588, win 8760, length 441
12:58:17.006175 IP 172.16.113.204.1049 > 172.16.112.100.smtp: Flags [.], seq 1270150524:1270151984, ack 4888555, win 32120, length 1460
12:58:18.205028 IP 172.16.113.50.telnet > 172.16.112.194.25691: Flags [P.], seq 629248097:629248114, ack 578113065, win 4096, length 17
12:59:31.747975 IP 172.16.114.148.ftp > 197.218.177.69.4305: Flags [P.], seq 1761191927:1761191975, ack 391103456, win 32736, length 48
12:59:34.640102 IP 172.16.114.148.ftp > 135.13.216.191.4306: Flags [P.], seq 1979707845:1979707893, ack 3963982921, win 32736, length 48
12:59:54.933527 IP 172.16.113.204.26731 > 192.168.1.20.ircd: Flags [P.], seq 3040986560:3040986572, ack 1278007617, win 32120, length 12
13:00:57.893288 IP 172.16.113.204.28221 > 192.168.1.20.ircd: Flags [P.], seq 811444144:811444158, ack 2077023979, win 32120, length 14
13:04:40.325921 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.4358: Flags [P.], seq 4051638112:4051638160, ack 2548626834, win 32736, length 48
13:08:12.220309 IP 172.16.112.100.ftp > 135.8.60.182.4856: Flags [P.], seq 5483010:5483041, ack 2111595965, win 8716, length 31
13:11:03.625544 IP 172.16.112.100.ftp > 194.27.251.21.5134: Flags [P.], seq 5654463:5654494, ack 4253135957, win 8715, length 31
13:11:36.600513 IP 172.16.113.50.telnet > 172.16.114.207.32411: Flags [P.], seq 731456096:731456113, ack 3306187187, win 4096, length 17
13:34:43.341200 IP 172.16.114.148.ftp > www.aasa.co.za.6951: Flags [P.], seq 3990183801:3990183849, ack 2495831413, win 32736, length 48
13:35:35.437821 IP 172.16.112.100.ftp > 194.27.251.21.7146: Flags [P.], seq 7126557:7126588, ack 703098935, win 8717, length 31
13:49:58.733575 IP 172.16.112.100.ftp > 194.27.251.21.8268: Flags [P.], seq 7989979:7990010, ack 373291881, win 8715, length 31
13:51:18.678536 IP 172.16.112.100.ftp > 172.16.113.105.1908: Flags [P.], seq 8069666:8069697, ack 76234141, win 8709, length 31
13:52:03.438477 IP 172.16.112.100.ftp > www.a-be.org.8312: Flags [P.], seq 8114666:8114697, ack 644557204, win 8714, length 31
13:54:18.361725 IP 172.16.112.100.ftp > 196.227.33.189.8513: Flags [P.], seq 8249557:8249588, ack 1003672503, win 8716, length 31
14:08:13.473708 IP 172.16.112.50.telnet > 172.16.118.50.1054: Flags [P.], seq 1162780809:1162780826, ack 1967447610, win 8760, length 17
14:08:19.392970 IP 172.16.112.50.telnet > 172.16.118.50.1104: Flags [P.], seq 1163686182:1163686199, ack 3520022926, win 8760, length 17
14:08:25.312089 IP 172.16.112.50.telnet > 172.16.118.50.1106: Flags [P.], seq 1164537270:1164537287, ack 2925999381, win 8760, length 17
14:08:31.232306 IP 172.16.112.50.telnet > 172.16.118.50.1107: Flags [P.], seq 1165509877:1165509894, ack 3395891448, win 8760, length 17
14:08:37.151197 IP 172.16.112.50.telnet > 172.16.118.50.1108: Flags [P.], seq 1166358968:1166358985, ack 3083199948, win 8760, length 17
14:08:43.041512 IP 172.16.112.50.telnet > 172.16.118.50.kpop: Flags [P.], seq 1167268706:1167268723, ack 2950469089, win 8760, length 17
14:08:48.951139 IP 172.16.112.50.telnet > 172.16.118.50.1111: Flags [P.], seq 1168221950:1168221967, ack 799441173, win 8760, length 17
14:08:54.540539 IP 172.16.112.50.telnet > 172.16.118.50.1112: Flags [P.], seq 1169451943:1169451960, ack 2419015794, win 8760, length 17
14:13:50.143826 IP 172.16.114.148.ftp > www.a-be.org.10322: Flags [P.], seq 498698603:498698651, ack 1585381443, win 32736, length 48
14:14:29.717539 IP 172.16.112.100.ftp > www.a-be.org.10506: Flags [P.], seq 285776:285807, ack 3426311834, win 8716, length 31
14:16:01.026939 IP 172.16.112.100.ftp > 172.16.112.50.32871: Flags [P.], seq 377416:377447, ack 1223850618, win 8711, length 31
14:16:03.736998 IP 172.16.112.100.ftp > 172.16.114.169.16998: Flags [P.], seq 380182:380213, ack 1655876652, win 8712, length 31
14:23:13.950463 IP 172.16.113.50.telnet > 172.16.112.194.8803: Flags [P.], seq 1282368097:1282368114, ack 1194558022, win 4096, length 17
14:27:49.342686 IP 172.16.112.50.telnet > 172.16.114.207.24149: Flags [P.], seq 1315366266:1315366283, ack 2045681797, win 8760, length 17
14:28:59.548712 IP 172.16.112.50.telnet > 172.16.114.148.25148: Flags [P.], seq 1325142758:1325142775, ack 2704205550, win 8760, length 17
14:31:11.674853 IP 172.16.114.169.telnet > 196.227.33.189.12322: Flags [P.], seq 646288117:646288143, ack 3645815317, win 32736, length 26
14:31:13.793561 IP 172.16.114.169.telnet > 196.227.33.189.12322: Flags [P.], seq 44:70, ack 20, win 32736, length 26
14:33:44.302675 IP 172.16.112.100.ftp > www.aasa.co.za.12337: Flags [P.], seq 1440854:1440885, ack 87659560, win 8710, length 31
14:35:15.441503 IP 172.16.112.20.domain > 172.16.114.50.ms-sql-m: 2271 1/1/0 PTR beta.banana.edu. (107)
14:36:30.263750 IP 172.16.114.148.ftp > 194.27.251.21.12354: Flags [P.], seq 3087859425:3087859473, ack 3503073592, win 32736, length 48
14:42:05.424775 IP 172.16.112.100.ftp > 197.182.91.233.12480: Flags [P.], seq 1942073:1942104, ack 2223728359, win 8713, length 31
14:43:27.033132 IP 172.16.112.50.telnet > 197.182.91.233.12706: Flags [P.], seq 1435360043:1435360060, ack 1356980321, win 8760, length 17
14:53:23.609871 IP 172.16.114.50.ftp > 172.16.113.50.1069: Flags [P.], seq 1594053458:1594053487, ack 1515648031, win 31744, length 29
14:57:49.430672 IP 172.16.112.50.telnet > 172.16.114.168.18786: Flags [P.], seq 1545887780:1545887797, ack 2004898969, win 8760, length 17
15:09:06.648945 IP 172.16.112.100.ftp > 172.16.112.207.25654: Flags [P.], seq 3563651:3563682, ack 4161045647, win 8711, length 31
15:09:19.868120 IP 172.16.113.50.ftp > 172.16.112.50.32923: Flags [P.], seq 1637696078:1637696107, ack 1633534829, win 4096, length 29
15:14:09.528109 IP 172.16.114.148.ftp > 196.227.33.189.15941: Flags [P.], seq 3969193917:3969193965, ack 4123258854, win 32736, length 48
15:14:31.153635 IP 172.16.114.50.telnet > 172.16.113.105.32263: Flags [P.], seq 600698530:600698549, ack 1796864791, win 31744, length 19
15:16:43.432722 IP 172.16.112.100.ftp > 135.8.60.182.16134: Flags [P.], seq 4020416:4020447, ack 373817249, win 8713, length 31
