12:13:08.078067 IP 172.16.114.148.ftp > 194.27.251.21.1303: Flags [P.], seq 2202519189:2202519237, ack 3019547173, win 32736, length 48
12:13:13.740432 IP 172.16.113.84.1113 > 192.168.1.20.ircd: Flags [P.], seq 59854088:59854102, ack 3426882095, win 32120, length 14
12:14:20.976756 IP 172.16.112.100.ftp > 172.16.112.149.1198: Flags [P.], seq 2238682:2238713, ack 3496848994, win 8710, length 31
12:25:56.939835 IP 172.16.113.84.5207 > 192.168.1.20.ircd: Flags [P.], seq 1132225641:1132225654, ack 3570730215, win 32120, length 13
12:30:04.975565 IP 172.16.112.100.ftp > 135.8.60.182.2076: Flags [P.], seq 3183338:3183369, ack 3708364073, win 8715, length 31
12:35:01.982209 IP 172.16.113.84.10267 > 192.168.1.20.ircd: Flags [P.], seq 4247573271:4247573281, ack 1055489579, win 32120, length 10
12:35:10.267897 IP 172.16.114.148.ftp > static.kpn.net.2132: Flags [P.], seq 2623666897:2623666945, ack 2023641716, win 32736, length 48
12:35:32.087175 IP 172.16.112.100.ftp > 172.16.114.169.10314: Flags [P.], seq 3510448:3510479, ack 2784555853, win 8711, length 31
12:41:01.308676 IP 172.16.112.100.ftp > 172.16.114.148.16438: Flags [P.], seq 3839666:3839697, ack 1907901191, win 8711, length 31
12:42:53.164908 IP 172.16.113.204.19524 > 192.168.1.20.ircd: Flags [P.], seq 593941481:593941493, ack 1900410691, win 32120, length 12
12:44:56.216972 IP 172.16.114.168.telnet > ppp5-213.iawhk.com.1025: Flags [P.], seq 2680839472:2680839498, ack 3261982379, win 32736, length 26
12:48:44.758564 IP 172.16.112.50.telnet > 172.16.114.169.21604: Flags [P.], seq 555483857:555483874, ack 3696873149, win 8760, length 17
12:48:54.199929 IP 172.16.112.100.ftp > 172.16.112.50.32785: Flags [P.], seq 4312573:4312604, ack 557422895, win 8711, length 31
12:49:47.089639 IP 172.16.113.204.22101 > 192.168.1.20.ircd: Flags [P.], seq 3085897783:3085897797, ack 2502844747, win 32120, length 14
12:50:34.741561 IP 172.16.114.148.ftp > www.a-be.org.2594: Flags [P.], seq 1229492206:1229492254, ack 4208451610, win 32736, length 48
