12:07:25.132423 IP 172.16.112.100.ftp > 172.16.113.204.2678: Flags [P.], seq 1514666:1514697, ack 457125304, win 8710, length 31
12:07:49.359372 IP 172.16.114.148.ftp > www.aasa.co.za.1108: Flags [P.], seq 3318736296:3318736344, ack 2766892131, win 32736, length 48
12:09:38.936628 IP 172.16.112.100.ftp > 197.218.177.69.1877: Flags [P.], seq 1649026:1649057, ack 1414297723, win 8714, length 31
12:16:46.865824 IP 172.16.113.84.5772 > 192.168.1.20.ircd: Flags [P.], seq 4125535634:4125535648, ack 4246139908, win 32120, length 14
12:18:37.867181 IP 172.16.112.100.ftp > 108.218.115.195.rev.sfr.net.2249: Flags [P.], seq 2188041:2188072, ack 3363212136, win 8714, length 31
12:18:52.150929 IP 172.16.112.100.ftp > 172.16.112.50.32785: Flags [P.], seq 2202166:2202197, ack 290820538, win 8710, length 31
12:21:23.114710 IP 172.16.113.50.telnet > 172.16.112.194.6486: Flags [P.], seq 304384097:304384114, ack 2852511956, win 4096, length 17
12:22:16.961848 IP 172.16.113.84.6612 > 192.168.1.20.ircd: Flags [P.], seq 2588282915:2588282928, ack 315984628, win 32120, length 13
12:22:45.893289 IP 172.16.112.50.telnet > 172.16.113.84.6704: Flags [P.], seq 321059764:321059781, ack 1809710903, win 8760, length 17
12:29:20.570598 IP 172.16.112.100.ftp > 197.182.91.233.isisd: Flags [P.], seq 2830713:2830744, ack 580940150, win 8715, length 31
12:32:40.109867 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.3136: Flags [P.], seq 1810148982:1810149030, ack 1630125575, win 32736, length 48
12:33:16.482280 IP 172.16.113.84.10767 > 192.168.1.20.ircd: Flags [P.], seq 3216197505:3216197515, ack 2986193252, win 32120, length 10
12:33:32.125572 IP 172.16.112.100.ftp > 135.8.60.182.3327: Flags [P.], seq 3082479:3082510, ack 3801671006, win 8714, length 31
12:35:53.518753 IP 172.16.114.148.ftp > www.aasa.co.za.4156: Flags [P.], seq 538587484:538587532, ack 1483632923, win 32736, length 48
12:36:24.801258 IP 172.16.112.100.ftp > 197.182.91.233.4162: Flags [P.], seq 3254963:3254994, ack 598705311, win 8713, length 31
12:37:23.562155 IP 172.16.112.100.ftp > 172.16.114.169.12152: Flags [P.], seq 3313916:3313947, ack 661975470, win 8712, length 31
12:37:32.987068 IP 172.16.112.100.ftp > 135.8.60.182.4170: Flags [P.], seq 3323385:3323416, ack 2107582670, win 8714, length 31
12:39:24.674598 IP 172.16.112.100.ftp > 196.227.33.189.4179: Flags [P.], seq 3435026:3435057, ack 173769238, win 8713, length 31
12:39:44.553036 IP 172.16.114.148.ftp > 194.27.251.21.4186: Flags [P.], seq 3982075889:3982075937, ack 1446928469, win 32736, length 48
12:44:01.910810 IP 172.16.113.204.13369 > 192.168.1.20.ircd: Flags [P.], seq 2744428200:2744428212, ack 2618871295, win 32120, length 12
12:49:21.527769 IP 172.16.113.204.16053 > 192.168.1.20.ircd: Flags [P.], seq 2074142266:2074142280, ack 3320272652, win 32120, length 14
12:51:20.338712 IP 172.16.112.100.ftp > www.aasa.co.za.4630: Flags [P.], seq 4150760:4150791, ack 893116722, win 8710, length 31
12:53:47.073752 IP 172.16.114.148.ftp > 135.13.216.191.4672: Flags [P.], seq 3791917603:3791917651, ack 3504711497, win 32736, length 48
13:09:22.043882 IP 172.16.114.148.ftp > 196.227.33.189.5234: Flags [P.], seq 745720808:745720856, ack 3110146348, win 32736, length 48
13:16:42.378785 IP 172.16.112.100.ftp > 172.16.112.149.1026: Flags [P.], seq 5647975:5648005, ack 808290634, win 8730, length 30
13:17:19.610317 IP 172.16.112.149.1028 > 172.16.112.100.ftp-data: Flags [.], seq 399831965:399833425, ack 5711204, win 32736, length 1460
13:17:23.861819 IP 172.16.112.149.1029 > 172.16.112.100.ftp-data: Flags [.], seq 3676324106:3676325566, ack 5715469, win 32736, length 1460
13:17:29.067770 IP 172.16.112.149.1048 > 172.16.112.100.ftp-data: Flags [.], seq 1488284779:1488286239, ack 5720672, win 32736, length 1460
13:29:26.203854 IP 172.16.112.100.ftp > 172.16.112.207.9399: Flags [P.], seq 6437135:6437166, ack 912319472, win 8713, length 31
13:34:01.749593 IP 172.16.112.100.ftp > 135.8.60.182.6993: Flags [P.], seq 6712776:6712807, ack 650925463, win 8714, length 31
13:40:16.618298 IP 172.16.114.148.ftp > 194.27.251.21.8310: Flags [P.], seq 3646417859:3646417907, ack 4291226321, win 32736, length 48
13:40:53.806113 IP 172.16.112.100.ftp > www.a-be.org.8316: Flags [P.], seq 7124807:7124838, ack 1870219567, win 8715, length 31
13:41:08.435493 IP 172.16.112.100.ftp > 172.16.113.105.23681: Flags [P.], seq 7139416:7139447, ack 2546344715, win 8709, length 31
13:52:46.091871 IP 172.16.112.100.ftp > 194.27.251.21.9303: Flags [P.], seq 7837307:7837338, ack 169620201, win 8714, length 31
13:53:29.423559 IP 172.16.112.100.ftp > 108.218.115.195.rev.sfr.net.9553: Flags [P.], seq 7880541:7880572, ack 2517555, win 8714, length 31
13:53:36.851540 IP 172.16.112.100.ftp > 194.27.251.21.9623: Flags [P.], seq 7888073:7888104, ack 48583558, win 8714, length 31
13:59:43.847821 IP 172.16.112.100.ftp > 194.27.251.21.9721: Flags [P.], seq 8255120:8255151, ack 508114974, win 8714, length 31
14:01:56.551874 IP 172.16.112.100.ftp > 172.16.113.84.8239: Flags [P.], seq 8387791:8387822, ack 4006116389, win 8711, length 31
14:13:46.575668 IP 172.16.113.50.telnet > 172.16.112.149.14456: Flags [P.], seq 1168128098:1168128115, ack 3061322195, win 4096, length 17
14:16:16.680865 IP 172.16.114.148.ftp > static.kpn.net.10473: Flags [P.], seq 1204512978:1204513026, ack 4007986360, win 32736, length 48
14:22:45.070618 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.10997: Flags [P.], seq 177207730:177207778, ack 3282737024, win 32736, length 48
14:25:42.045409 IP 172.16.113.50.telnet > 172.16.113.105.22671: Flags [P.], seq 1260096095:1260096112, ack 2825295346, win 4096, length 17
14:30:47.864760 IP 172.16.112.100.ftp > 196.227.33.189.11876: Flags [P.], seq 231448:231479, ack 2675467491, win 8714, length 31
14:30:56.539459 IP 196.227.33.189.11876 > 172.16.112.100.ftp: Flags [P.], seq 164:178, ack 488, win 32120, length 14
14:35:20.470003 IP 172.16.112.100.ftp > 172.16.114.148.30764: Flags [P.], seq 504135:504166, ack 1365854082, win 8714, length 31
14:35:26.467952 IP 172.16.114.148.ftp > 196.227.33.189.12135: Flags [P.], seq 3966382579:3966382627, ack 3709358043, win 32736, length 48
14:41:48.161785 IP 172.16.112.100.ftp > 172.16.113.50.1057: Flags [P.], seq 891479:891510, ack 1383488050, win 8712, length 31
15:01:07.692557 IP 172.16.112.100.ftp > 194.27.251.21.12387: Flags [P.], seq 2051635:2051666, ack 2599350343, win 8714, length 31
15:01:24.448693 IP 172.16.112.100.ftp > 197.218.177.69.12396: Flags [P.], seq 2068401:2068432, ack 3051019238, win 8714, length 31
15:03:19.628686 IP 172.16.113.50.telnet > 172.16.114.169.11901: Flags [P.], seq 1549696096:1549696113, ack 1736131693, win 4096, length 17
15:03:30.092131 IP 172.16.112.100.ftp > 172.16.113.50.1068: Flags [P.], seq 2193682:2193713, ack 1551232049, win 8713, length 31
15:07:23.166090 IP 172.16.112.100.ftp > 108.218.115.195.rev.sfr.net.12446: Flags [P.], seq 2427166:2427197, ack 3894681371, win 8713, length 31
15:07:45.581529 IP 172.16.112.100.ftp > 194.27.251.21.12457: Flags [P.], seq 2449604:2449635, ack 3197688829, win 8715, length 31
15:10:31.792979 IP 172.16.113.50.ftp > 172.16.112.50.32898: Flags [P.], seq 1604416079:1604416109, ack 1593531751, win 4096, length 30
15:12:04.979718 IP 172.16.112.100.ftp > www.aasa.co.za.12830: Flags [P.], seq 2708916:2708947, ack 1884837583, win 8710, length 31
15:17:36.612626 IP 172.16.112.100.ftp > 194.27.251.21.bpdbm: Flags [P.], seq 3040791:3040822, ack 289365026, win 8717, length 31
15:21:28.122908 IP 172.16.112.100.ftp > 206.48.44.18.1238: Flags [P.], seq 3273166:3273197, ack 13161953, win 8714, length 31
15:21:28.123877 IP 206.48.44.18.1238 > 172.16.112.100.ftp: Flags [P.], seq 1:27, ack 31, win 8610, length 26
15:21:28.125161 IP 206.48.44.18.1238 > 172.16.112.100.ftp: Flags [P.], seq 27:54, ack 58, win 8583, length 27
15:21:48.355434 IP 172.16.115.234.1242 > 172.16.112.100.netbios-ssn: Flags [P.], seq 13203762:13203938, ack 3293394, win 8663, length 176 NBT Session Packet: Session Message
15:22:28.148065 IP 172.16.112.100.http > 206.48.44.18.1244: Flags [P.], seq 3333094:3333367, ack 13221978, win 8736, length 273
15:22:28.151962 IP 172.16.112.100.http > 206.48.44.18.1245: Flags [P.], seq 3333094:3333381, ack 13221989, win 8725, length 287
15:22:28.160444 IP 172.16.112.100.http > 206.48.44.18.1246: Flags [P.], seq 3333094:3333367, ack 13221989, win 8725, length 273
15:23:18.033836 IP 172.16.112.100.ftp > 172.16.114.168.28746: Flags [P.], seq 3382135:3382166, ack 1357552571, win 8712, length 31
15:26:33.479479 IP 172.16.112.100.ftp > 206.48.44.18.1253: Flags [P.], seq 3578526:3578557, ack 13467312, win 8714, length 31
15:26:33.480425 IP 206.48.44.18.1253 > 172.16.112.100.ftp: Flags [P.], seq 1:27, ack 31, win 8610, length 26
15:26:33.481641 IP 206.48.44.18.1253 > 172.16.112.100.ftp: Flags [P.], seq 27:54, ack 58, win 8583, length 27
15:26:40.114552 IP 172.16.114.148.ftp > 135.13.216.191.14797: Flags [P.], seq 1403435751:1403435799, ack 2071253791, win 32736, length 48
15:27:33.508932 IP 172.16.112.100.http > 206.48.44.18.1258: Flags [P.], seq 3638501:3638612, ack 13527400, win 8736, length 111
15:27:33.512570 IP 172.16.112.100.http > 206.48.44.18.1259: Flags [P.], seq 3638516:3638789, ack 13527400, win 8736, length 273
15:27:33.516143 IP 172.16.112.100.http > 206.48.44.18.1260: Flags [P.], seq 3638516:3638803, ack 13527411, win 8725, length 287
15:27:33.521083 IP 172.16.112.100.http > 206.48.44.18.1261: Flags [P.], seq 3638516:3638789, ack 13527411, win 8725, length 273
15:39:00.195901 IP 172.16.112.100.ftp > 172.16.112.194.13102: Flags [P.], seq 4324370:4324401, ack 3793246411, win 8709, length 31
15:42:21.323815 IP 172.16.112.100.ftp > 172.16.113.84.16511: Flags [P.], seq 4525510:4525541, ack 3677889782, win 8715, length 31
15:42:37.319168 IP 206.48.44.18.1278 > 172.16.112.100.http: Flags [P.], seq 14431360:14431431, ack 4542485, win 8760, length 71
15:42:37.319849 IP 172.16.112.100.http > 206.48.44.18.1278: Flags [P.], seq 1:288, ack 71, win 8689, length 287
15:42:37.323413 IP 172.16.112.100.http > 206.48.44.18.1279: Flags [P.], seq 4542485:4542758, ack 14431407, win 8729, length 273
15:42:37.790446 IP 206.48.44.18.1283 > 172.16.112.100.netbios-ssn: Flags [P.], seq 14432075:14432279, ack 4543051, win 8663, length 204 NBT Session Packet: Session Message
15:42:37.888218 IP 206.48.44.18.1283 > 172.16.112.100.netbios-ssn: Flags [P.], seq 826:934, ack 1032, win 7632, length 108 NBT Session Packet: Session Message
15:42:37.935885 IP 206.48.44.18.1283 > 172.16.112.100.netbios-ssn: Flags [P.], seq 934:1034, ack 1071, win 7593, length 100 NBT Session Packet: Session Message
15:42:37.946307 IP 206.48.44.18.1283 > 172.16.112.100.netbios-ssn: Flags [P.], seq 1034:1134, ack 1110, win 7554, length 100 NBT Session Packet: Session Message
15:46:56.721016 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.16868: Flags [P.], seq 1182441220:1182441268, ack 1415901009, win 32736, length 48
15:57:43.779132 IP 172.16.112.100.ftp > 172.16.113.204.8953: Flags [P.], seq 5448260:5448291, ack 3321066674, win 8712, length 31
15:57:50.168118 IP 172.16.112.100.ftp > 172.16.113.84.9557: Flags [P.], seq 5454698:5454729, ack 1456474732, win 8712, length 31
16:02:43.419839 IP 172.16.112.50.telnet > 172.16.113.105.16642: Flags [P.], seq 1991124345:1991124362, ack 1482648906, win 8760, length 17
16:03:13.401471 IP 172.16.112.50.telnet > 172.16.112.194.17130: Flags [P.], seq 1995157908:1995157925, ack 1547770792, win 8760, length 17
16:04:16.259552 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.18039: Flags [P.], seq 4111556762:4111556810, ack 3389822012, win 32736, length 48
