12:00:43.729796 IP 172.16.114.148.ftp > 194.27.251.21.1024: Flags [P.], seq 246757133:246757181, ack 3426122286, win 32736, length 48
12:14:07.868623 IP 172.16.113.84.3394 > 192.168.1.20.ircd: Flags [P.], seq 966605078:966605092, ack 118217977, win 32120, length 14
12:19:14.040165 IP 172.16.114.148.ftp > www.a-be.org.1560: Flags [P.], seq 2958145694:2958145742, ack 2932249831, win 32736, length 48
12:22:59.884721 IP 172.16.113.84.10251 > 192.168.1.20.ircd: Flags [P.], seq 3962564178:3962564191, ack 2040860490, win 32120, length 13
12:28:36.469740 IP 172.16.112.100.ftp > 197.182.91.233.2225: Flags [P.], seq 3150260:3150291, ack 3745726523, win 8712, length 31
12:28:39.039652 IP 172.16.113.84.14367 > 192.168.1.20.ircd: Flags [P.], seq 3250986464:3250986474, ack 2669776593, win 32120, length 10
12:29:17.019583 IP 172.16.113.50.telnet > 172.16.112.194.14385: Flags [P.], seq 412992097:412992114, ack 3099171443, win 4096, length 17
12:34:41.176965 IP 172.16.113.204.20076 > 192.168.1.20.ircd: Flags [P.], seq 2488900394:2488900406, ack 418577151, win 32120, length 12
12:38:15.596963 IP 172.16.112.100.ftp > www.a-be.org.2801: Flags [P.], seq 3730010:3730041, ack 4247673263, win 8715, length 31
12:38:23.068870 IP 172.16.114.50.telnet > 172.16.113.204.24163: Flags [P.], seq 256462631:256462657, ack 2412544066, win 31744, length 26
12:39:34.501520 IP 172.16.112.100.ftp > 197.182.91.233.2866: Flags [P.], seq 3808901:3808932, ack 4157422641, win 8714, length 31
12:45:23.161714 IP 172.16.113.204.27723 > 192.168.1.20.ircd: Flags [P.], seq 3063302126:3063302140, ack 4236958948, win 32120, length 14
12:48:56.937385 IP 172.16.112.100.ftp > 172.16.112.149.28769: Flags [P.], seq 4371354:4371385, ack 1647511143, win 8710, length 31
12:49:00.016487 IP 172.16.112.100.ftp > www.aasa.co.za.3846: Flags [P.], seq 4374416:4374447, ack 2189494475, win 8710, length 31
12:56:04.125588 IP 172.16.114.148.ftp > www.a-be.org.4203: Flags [P.], seq 1934454884:1934454932, ack 2487766577, win 32736, length 48
12:59:22.074728 IP 172.16.114.148.ftp > 194.27.251.21.4302: Flags [P.], seq 882103879:882103927, ack 531195348, win 32736, length 48
13:00:25.607292 IP 172.16.114.148.ftp > 196.227.33.189.4319: Flags [P.], seq 3828007569:3828007617, ack 982264147, win 32736, length 48
13:02:47.055155 IP 172.16.112.50.telnet > 172.16.113.204.32664: Flags [P.], seq 637103621:637103638, ack 2828740957, win 8760, length 17
13:03:26.531514 IP 172.16.114.148.ftp > 196.227.33.189.4610: Flags [P.], seq 1836174312:1836174360, ack 3939550443, win 32736, length 48
13:07:24.499595 IP 172.16.113.50.telnet > 197.218.177.69.4677: Flags [P.], seq 706176098:706176115, ack 1793936071, win 4096, length 17
13:17:14.524812 IP 172.16.112.100.ftp > 172.16.112.207.6826: Flags [P.], seq 6069260:6069291, ack 1071665386, win 8714, length 31
13:20:39.383202 IP 172.16.112.100.ftp > 196.227.33.189.6189: Flags [P.], seq 6274260:6274291, ack 2080803410, win 8715, length 31
13:30:53.348360 IP 172.16.112.50.telnet > 172.16.113.84.17746: Flags [P.], seq 850573556:850573573, ack 719621680, win 8760, length 17
13:31:23.820423 IP 172.16.114.50.telnet > 172.16.113.84.18274: Flags [P.], seq 1488554201:1488554220, ack 1570651748, win 31744, length 19
13:39:13.940160 IP 172.16.114.50.telnet > 172.16.112.194.25123: Flags [P.], seq 1749208843:1749208869, ack 733006896, win 31744, length 26
13:41:35.921924 IP 172.16.112.100.ftp > 172.16.113.204.26850: Flags [P.], seq 7530963:7530994, ack 2138760664, win 8712, length 31
13:41:37.212231 IP 172.16.114.148.ftp > 197.182.91.233.9299: Flags [P.], seq 3005768284:3005768332, ack 3911968398, win 32736, length 48
13:41:41.590856 IP 172.16.112.100.ftp > 197.218.177.69.9303: Flags [P.], seq 7536635:7536666, ack 2941578429, win 8714, length 31
13:50:34.289765 IP 209.167.99.71.1054 > 172.16.112.100.smtp: Flags [P.], seq 2974262561:2974263585, ack 8065809, win 32120, length 1024
14:00:12.587049 IP 172.16.112.100.ftp > 172.16.113.84.7083: Flags [P.], seq 8647776:8647807, ack 593887273, win 8711, length 31
14:11:32.399120 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.12622: Flags [P.], seq 1201858785:1201858833, ack 4231181909, win 32736, length 48
14:14:01.376028 IP 172.16.112.100.ftp > static.kpn.net.12911: Flags [P.], seq 9476791:9476822, ack 14141121, win 8714, length 31
14:20:21.613740 IP 172.16.114.148.ftp > 196.227.33.189.13339: Flags [P.], seq 1159540746:1159540794, ack 2479377561, win 32736, length 48
14:31:44.984293 IP 172.16.114.148.ftp > www.a-be.org.14442: Flags [P.], seq 2312096513:2312096561, ack 2711628918, win 32736, length 48
14:35:07.935652 IP 172.16.112.149.telnet > 135.13.216.191.14458: Flags [P.], seq 2275572131:2275572157, ack 198037516, win 32736, length 26
14:36:41.232813 IP 172.16.114.148.ftp > 197.218.177.69.14459: Flags [P.], seq 3449114152:3449114200, ack 3312219846, win 32736, length 48
14:40:22.107678 IP 172.16.114.50.telnet > 172.16.113.204.20592: Flags [P.], seq 411900127:411900153, ack 3371089164, win 31744, length 26
14:49:01.993486 IP 172.16.114.148.ftp > 135.13.216.191.14643: Flags [P.], seq 1043836456:1043836504, ack 1905723108, win 32736, length 48
14:50:48.113525 IP 172.16.114.148.ftp > www.a-be.org.14914: Flags [P.], seq 2394251752:2394251800, ack 1339363807, win 32736, length 48
14:52:57.987592 IP 172.16.113.50.telnet > www.a-be.org.14997: Flags [P.], seq 1516736097:1516736114, ack 3748775208, win 4096, length 17
14:53:00.388041 IP 172.16.113.50.telnet > www.a-be.org.14997: Flags [P.], seq 44:61, ack 20, win 4096, length 17
14:56:11.936703 IP 172.16.112.50.ftp > 172.16.113.50.1055: Flags [P.], seq 1497785494:1497785523, ack 1540992031, win 8760, length 29
14:59:28.768011 IP 172.16.112.100.ftp > 172.16.114.207.8249: Flags [P.], seq 12204557:12204588, ack 3130258126, win 8709, length 31
14:59:33.336880 IP 172.16.112.100.ftp > 172.16.113.84.8253: Flags [P.], seq 12209182:12209213, ack 2832932790, win 8712, length 31
15:02:26.506152 IP 172.16.114.148.ftp > static.kpn.net.15362: Flags [P.], seq 1797821285:1797821333, ack 2011479302, win 32736, length 48
15:04:09.098410 IP 172.16.112.100.ftp > www.a-be.org.15374: Flags [P.], seq 12485010:12485041, ack 325050752, win 8716, length 31
15:05:08.016217 IP 172.16.112.100.ftp > 135.13.216.191.15666: Flags [P.], seq 12543963:12543994, ack 2438434667, win 8715, length 31
15:05:08.777902 IP 172.16.114.148.ftp > 197.218.177.69.15665: Flags [P.], seq 592419028:592419076, ack 65553356, win 32736, length 48
15:07:04.812201 IP 197.182.91.233.2095 > 172.16.112.100.smtp: Flags [.], seq 232257933:232259393, ack 12657165, win 32120, length 1460
15:15:53.294130 IP 172.16.112.50.telnet > 135.13.216.191.16492: Flags [P.], seq 1649500369:1649500386, ack 3915233770, win 8760, length 17
15:22:52.565486 IP 172.16.114.148.ftp > 135.8.60.182.16776: Flags [P.], seq 699738158:699738206, ack 4199699928, win 32736, length 48
15:23:29.870272 IP 172.16.112.100.ftp > www.a-be.org.17463: Flags [P.], seq 13645573:13645604, ack 319333175, win 8714, length 31
15:27:50.780157 IP 172.16.112.100.ftp > 172.16.113.204.13900: Flags [P.], seq 13906635:13906666, ack 482371877, win 8710, length 31
15:30:15.551551 IP 172.16.112.100.ftp > 135.13.216.191.17965: Flags [P.], seq 14051635:14051666, ack 371702328, win 8715, length 31
15:37:23.517272 IP 172.16.113.50.telnet > 172.16.112.194.30771: Flags [P.], seq 1859008097:1859008114, ack 1042882629, win 4096, length 17
15:38:28.306331 IP 172.16.113.50.telnet > 197.218.177.69.18482: Flags [P.], seq 1867584097:1867584114, ack 402500254, win 4096, length 17
15:38:30.704804 IP 172.16.113.50.telnet > 197.218.177.69.18482: Flags [P.], seq 44:61, ack 22, win 4096, length 17
15:38:33.102177 IP 172.16.113.50.telnet > 197.218.177.69.18482: Flags [P.], seq 88:105, ack 41, win 4096, length 17
15:39:19.485659 IP 172.16.112.100.ftp > 172.16.112.207.2318: Flags [P.], seq 14595604:14595635, ack 1701507316, win 8710, length 31
15:42:24.990957 IP 172.16.114.148.ftp > static.kpn.net.18595: Flags [P.], seq 2158456162:2158456210, ack 2906060945, win 32736, length 48
15:44:22.701928 IP 172.16.112.100.ftp > 172.16.113.204.12353: Flags [P.], seq 14898885:14898916, ack 237221727, win 8711, length 31
15:44:27.292283 IP 172.16.114.148.ftp > www.aasa.co.za.18997: Flags [P.], seq 930128967:930129015, ack 591229444, win 32736, length 48
15:53:27.845680 IP 172.16.112.50.telnet > 172.16.112.149.29229: Flags [P.], seq 1935521781:1935521798, ack 331982445, win 8760, length 17
15:58:41.802568 IP 172.16.112.100.ftp > 172.16.114.148.2125: Flags [P.], seq 15758229:15758260, ack 2674054897, win 8712, length 31
15:58:49.885762 IP 172.16.114.50.ftp > 172.16.113.50.1074: Flags [P.], seq 456142448:456142474, ack 2024192028, win 31744, length 26
15:58:50.269815 IP 172.16.112.100.ftp > 172.16.113.204.2132: Flags [P.], seq 15766760:15766791, ack 522064840, win 8711, length 31
